source_id,target_id,distance
5213518766,5213518765,32.8471
5213518766,5213518767,8.87401
5213518767,5213518766,8.87401
5213518767,1264367714,26.2144
1264367714,5213518767,26.2144
1264367714,1264318293,113.418
1264318293,1264367714,113.418
1264318293,1264340978,34.0288
1264340978,1264318293,34.0288
1264340978,1264365681,22.9829
1264365681,1264340978,22.9829
1264365681,1264295373,32.8637
1264295373,1264365681,32.8637
1264295373,1264339635,20.3156
1264339635,1264295373,20.3156
1264339635,1264346894,13.8731
1264346894,1264339635,13.8731
1264346894,1264299208,26.0445
1264299208,1264346894,26.0445
1264299208,1252991322,31.711
1252991322,1264299208,31.711
1252991322,1264287025,41.4928
1264287025,1252991322,41.4928
1264287025,1264343514,12.8866
1264343514,1264287025,12.8866
1264343514,1264309199,7.52278
1264309199,1264343514,7.52278
1264309199,11009517215,7.55407
11009517215,1264309199,7.55407
11009517215,1252973544,10.1918
1252973544,11009517215,10.1918
5213050243,1253012937,48.7674
1253012937,5213050243,48.7674
5105926076,1252954291,67.305
1252954291,5105926076,67.305
1252954291,1264360160,55.3196
1264360160,1252954291,55.3196
1252992693,5213573150,22.3673
5213573150,1252992693,22.3673
5213573150,5213573151,21.5244
5213573151,5213573150,21.5244
5213573151,1264287025,31.944
1264287025,5213573151,31.944
5213573158,5213573166,42.4558
5213573166,5213573158,42.4558
5213573166,1264283470,24.2364
1264283470,5213573166,24.2364
1264283470,1253035630,40.6045
1253035630,1264283470,40.6045
1253015183,11035107372,39.8962
11035107372,1253015183,39.8962
11035107372,1252997636,9.34511
